Time (s),X (m),Y (m),Z (m),q1 (norm),q2 (i),q3 (j),q4 (k)
1735693658.0, 3771252.4599595424, 2570736.9282152797, 4807074.557445515, 0.6400523011222862, 0.40260625488628293,-0.023388173810404204,0.6539833703392786
1735693659.0, 3772303.235107877, 2564469.656665309, 4810710.867424334, 0.640003137106663, 0.4021828723504498,-0.02379097683517598,0.6542773961423395
1735693660.0, 3773347.955297354, 2558198.7376096565, 4814340.59608536, 0.6399536708487633, 0.40175934859022167,-0.02419371434046986,0.6545711490540698
1735693661.0, 3774386.620457075, 2551924.181753961, 4817963.740866445, 0.6399039024688388, 0.4013356837317411,-0.024596386269491705,0.6548646290274112
1735693662.0, 3775419.2305220068, 2545645.9997996665, 4821580.299211987, 0.6398538321018198, 0.4009118778994342,-0.024998992571956542,0.655157836001488
1735693663.0, 3776445.785433275, 2539364.2024435983, 4825190.2685729265, 0.6398034598797671, 0.40048793121741977,-0.025401533196784586,0.6554507699181712
1735693664.0, 3777466.285138076, 2533078.8003780786, 4828793.646406721, 0.639752785931801, 0.4000638438032691,-0.025804008098249485,0.6557434307257055
1735693665.0, 3778480.7295896704, 2526789.804290929, 4832390.430177338, 0.6397018103872543, 0.3996396157861396,-0.026206417219107967,0.6560358183652125
1735693666.0, 3779489.118747303, 2520497.224865587, 4835980.617355241, 0.6396505333864407, 0.399215247280714,-0.026608760519941713,0.6563279327749449
1735693667.0, 3780491.4525764836, 2514201.0727806836, 4839564.205417373, 0.6395989550500948, 0.3987907384164949,-0.027011037940047083,0.6566197739037829
1735693668.0, 3781487.7310485435, 2507901.3587106876, 4843141.191847145, 0.639547075514812, 0.39836608931331385,-0.027413249433401572,0.6569113416901632
1735693669.0, 3782477.954140918, 2501598.093325495, 4846711.574134422, 0.6394948949053295, 0.3979413000961299,-0.02781539494485866,0.6572026360810531
1735693670.0, 3783462.121837065, 2495291.287290527, 4850275.349775513, 0.6394424133530868, 0.3975163708848821,-0.02821747442632096,0.6574936570193609
1735693671.0, 3784440.234126385, 2488980.9512668587, 4853832.516273152, 0.6393896310055912, 0.3970913018000011,-0.028619487834334767,0.6577844044315848
1735693672.0, 3785412.2910045674, 2482667.095910675, 4857383.0711364895, 0.6393365479624776, 0.39666609296809163,-0.029021435103518334,0.6580748782877099
1735693673.0, 3786378.292472806, 2476349.7318744664, 4860927.011881072, 0.6392831643820709, 0.39624074451086333,-0.029423316192408257,0.6583650785023187
1735693674.0, 3787338.2385387737, 2470028.869805532, 4864464.3360288385, 0.6392294803788964, 0.3958152565477153,-0.029825131047375032,0.6586550050341979
1735693675.0, 3788292.1292158514, 2463704.520347164, 4867995.041108102, 0.6391754960920352, 0.39538962920016724,-0.03022687962056607,0.6589446578164655
1735693676.0, 3789239.964523453, 2457376.6941381195, 4871519.124653535, 0.6391212116409704, 0.3949638625953579,-0.030628561852087784,0.6592340367981663
1735693677.0, 3790181.7444868926, 2451045.4018128384, 4875036.584206159, 0.639066627171565, 0.39453795685220744,-0.03103017769856943,0.6595231419066664
1735693678.0, 3791117.469137653, 2444710.654001025, 4878547.417313331, 0.6390117427985915, 0.39411191209059104,-0.031431727105508865,0.6598119730991321
1735693679.0, 3792047.138512884, 2438372.461328397, 4882051.621528728, 0.638956558669221, 0.3936857284323647,-0.03183321002676313,0.6601005302994816
